99.99999237,959875.75,9.444402695,-2.000000198,1.875847578,209791.6719,640409.0381,-1.54125612
100.0099945,965280.5,9.440493584,-2.000000198,1.876304746,209644.2188,638492.9103,-1.544835668
100.0199966,962983.5625,9.436964989,-2.000000198,1.876788735,209489.4219,635500.9489,-1.54860599
100.0299911,968583.5625,9.434136391,-2.000000198,1.877256989,209325.0469,631807.2551,-1.552990343
100.0399933,966495.875,9.43076992,-2.000000198,1.877664328,209202.4688,627826.7336,-1.557890309
100.0499954,972323.625,9.427247047,-2.000000198,1.877984166,209056.0625,623581.7599,-1.563306089
100.0599899,970475.0625,9.423695564,-2.000000198,1.878181934,208957.0781,619277.6348,-1.569213469
100.0699921,976556.3125,9.419451714,-2.000000198,1.878275037,208747.7031,614458.9893,-1.575783395
100.0799942,974964.875,9.414995193,-2.000000198,1.87828064,208460.2656,609416.9293,-1.583157078
100.0899963,981308.5,9.410125732,-2.000000198,1.878239512,208075.9844,604188.4332,-1.590864677
100.0999908,979971.375,9.405110359,-2.000000198,1.878193259,207587.2813,599004.9163,-1.599043743
100.109993,986561.625,9.400278091,-2.000000198,1.878168702,206933.0313,593867.0371,-1.607836889
100.1199951,985450.3125,9.395903587,-2.000000198,1.878153682,206345.1406,589327.4478,-1.618374916
100.1299896,992246.25,9.391480446,-2.000000198,1.878112793,205710.875,585469.0542,-1.629386055
100.1399918,991308.5625,9.387830734,-2.000000198,1.878014207,205027.1875,582527.8044,-1.640425415
100.1499939,998247.6875,9.384224892,-2.000000198,1.877840281,204305.6406,580480.6338,-1.651284512
100.159996,997410.875,9.382200241,-2.000000198,1.877604365,203488.375,579653.5986,-1.661929059
100.1699905,1004410.938,9.380442619,-2.000000198,1.877338648,202644.5156,579595.0868,-1.672145842
100.1799927,1003584.5,9.379108429,-2.000000198,1.877089143,201723.0156,580402.7241,-1.682057072
100.1899948,1010546.313,9.378780365,-2.000000198,1.876897693,200766.2188,581759.4338,-1.6912465
100.1999969,1009625.25,9.3780756,-2.000000198,1.87677896,199730.2344,583688.6051,-1.699708592
100.2099915,1016439.625,9.376912117,-2.000000198,1.876731396,198591.1563,586005.6915,-1.707500575
100.2199936,1015315.938,9.376389503,-2.000000198,1.876730084,197447.9375,588211.2963,-1.713896002
100.2299957,1021877.625,9.374962807,-2.000000198,1.876744628,196282.2656,590320.8465,-1.718738014
100.2399902,1020453,9.372790337,-2.000000198,1.8767519,195167.3594,592123.1768,-1.722040362
100.2499924,1026671.063,9.370796204,-2.000000198,1.876743674,194017.5,593375.241,-1.723780322
100.2599945,1024865.813,9.367968559,-2.000000198,1.87672019,192976.875,593903.7073,-1.723587151
100.2699966,1030671.438,9.365150452,-2.000000198,1.876700401,191985.8906,593807.774,-1.72030384
100.2799911,1028429.5,9.362238884,-2.000000198,1.876729488,191015.2031,593269.893,-1.714219451
100.2899933,1033778.25,9.358446121,-2.000000198,1.87682569,190102.7188,592349.8525,-1.705256614
100.2999954,1031069.813,9.354990959,-2.000000198,1.876981974,189220.5469,591445.0301,-1.693272253
100.3099899,1035946.938,9.351438522,-2.000000198,1.87716341,188345.5313,590668.2028,-1.678470846
100.3199921,1032773.063,9.34811306,-2.000000198,1.877319336,187540.1563,590676.8863,-1.660778371
100.3299942,1037195.063,9.345127106,-2.000000198,1.877419472,186842.1406,591963.106,-1.640955025
100.3399963,1033588.438,9.34233284,-2.000000198,1.877451062,186225,594372.1499,-1.6195257
100.3499908,1037600.813,9.340024948,-2.000000198,1.877417445,185719.2656,598083.5591,-1.597013935
100.359993,1033619,9.337924004,-2.000000198,1.877337694,185326.2813,603484.1637,-1.574446428
100.3699951,1037287.688,9.336289406,-2.000000198,1.877234697,185109.0313,610153.4306,-1.552461679
100.3799896,1033002.563,9.334691048,-2.000000198,1.877121329,185039.875,617876.6665,-1.531428543
100.3899918,1036403.75,9.333187103,-2.000000198,1.877002478,185081.3438,626450.6601,-1.511802809
100.3999939,1031894.125,9.331689835,-2.000000198,1.876859665,185220.0313,635602.0616,-1.494052514
100.409996,1035107.375,9.331261635,-2.000000198,1.876668453,185443.0625,645230.9838,-1.478150697
100.4199905,1030451.75,9.331488609,-2.000000198,1.87639904,185761.9063,654649.9872,-1.465443384
100.4299927,1033553.125,9.331837654,-2.000000198,1.876035929,186208.1406,663435.9095,-1.455064181
100.4399948,1028822.063,9.333060265,-2.000000198,1.87558794,186750.8594,671535.9986,-1.446992704
100.4499969,1031874.563,9.335780144,-2.000000198,1.87509048,187345.3594,678487.5542,-1.441015481
100.4599915,1027121.188,9.339724541,-2.000000198,1.874593258,187956.6406,683948.8719,-1.436704844
100.4699936,1030167.188,9.34459877,-2.000000198,1.874130964,188546,688092.2246,-1.433575915
100.4799957,1025421.938,9.349876404,-2.000000198,1.873729229,189136.125,690968.5862,-1.431238214
100.4899902,1028481,9.354524612,-2.000000198,1.87338841,189718.375,692622.4411,-1.429326
100.4999924,1023754.063,9.359777451,-2.000000198,1.873094797,190307.4063,693273.1671,-1.427534385
100.5099945,1026828.25,9.364706993,-2.000000198,1.872831821,190811.3438,692772.4911,-1.425531061
100.5199966,1022115.5,9.369479179,-2.000000198,1.87257421,191309.5313,691978.9998,-1.424173169
100.5299911,1025196.625,9.373888016,-2.000000198,1.872321606,191762.3125,691042.5842,-1.423245397
